day,last_trade_day,total_volume,wallet_address,discordUsername,tier_id,SUM(amount)
2025-04-30,1750311822,405510615.73531973,0xe3724710a787c3d854bc3d23873d75eabba7b39b,,100,2359648.5198770994
2025-06-19,1750311822,405510615.73531973,0xe3724710a787c3d854bc3d23873d75eabba7b39b,,100,393950.23851800006
2025-06-09,1750311822,405510615.73531973,0xe3724710a787c3d854bc3d23873d75eabba7b39b,,100,6838795.0741901
2025-05-13,1750311822,405510615.73531973,0xe3724710a787c3d854bc3d23873d75eabba7b39b,,100,4095360.6131028016
2025-03-20,1750311822,405510615.73531973,0xe3724710a787c3d854bc3d23873d75eabba7b39b,,100,335115.9345696002
2025-03-14,1750311822,405510615.73531973,0xe3724710a787c3d854bc3d23873d75eabba7b39b,,100,800273.7655832999
2025-01-31,1750311822,405510615.73531973,0xe3724710a787c3d854bc3d23873d75eabba7b39b,,100,2110168.5183089008
2025-05-02,1750311822,405510615.73531973,0xe3724710a787c3d854bc3d23873d75eabba7b39b,,100,875495.4916176992
2024-12-20,1750311822,405510615.73531973,0xe3724710a787c3d854bc3d23873d75eabba7b39b,,100,1263166.3421219995
2025-05-08,1750311822,405510615.73531973,0xe3724710a787c3d854bc3d23873d75eabba7b39b,,100,4011458.4832812995
2025-01-18,1750311822,405510615.73531973,0xe3724710a787c3d854bc3d23873d75eabba7b39b,,100,4235019.865534599
2025-01-08,1750311822,405510615.73531973,0xe3724710a787c3d854bc3d23873d75eabba7b39b,,100,2384803.716466299
2025-05-06,1750311822,405510615.73531973,0xe3724710a787c3d854bc3d23873d75eabba7b39b,,100,1189851.1242906994
2025-03-30,1750311822,405510615.73531973,0xe3724710a787c3d854bc3d23873d75eabba7b39b,,100,496307.32657939976
2025-03-07,1750311822,405510615.73531973,0xe3724710a787c3d854bc3d23873d75eabba7b39b,,100,398073.7705527002
2025-05-18,1750311822,405510615.73531973,0xe3724710a787c3d854bc3d23873d75eabba7b39b,,100,1903948.7868714002
2025-02-05,1750311822,405510615.73531973,0xe3724710a787c3d854bc3d23873d75eabba7b39b,,100,1006978.4990497999
2025-03-01,1750311822,405510615.73531973,0xe3724710a787c3d854bc3d23873d75eabba7b39b,,100,1181853.6180042997
2025-04-24,1750311822,405510615.73531973,0xe3724710a787c3d854bc3d23873d75eabba7b39b,,100,1208706.0299953993
2025-03-09,1750311822,405510615.73531973,0xe3724710a787c3d854bc3d23873d75eabba7b39b,,100,1158399.8087587992
2025-03-05,1750311822,405510615.73531973,0xe3724710a787c3d854bc3d23873d75eabba7b39b,,100,898323.6540164002
2025-03-13,1750311822,405510615.73531973,0xe3724710a787c3d854bc3d23873d75eabba7b39b,,100,1218665.9214838995
2024-12-25,1750311822,405510615.73531973,0xe3724710a787c3d854bc3d23873d75eabba7b39b,,100,1468240.9000962
2025-02-19,1750311822,405510615.73531973,0xe3724710a787c3d854bc3d23873d75eabba7b39b,,100,804150.9906873996
2025-06-02,1750311822,405510615.73531973,0xe3724710a787c3d854bc3d23873d75eabba7b39b,,100,3947355.4323696997
2024-12-30,1750311822,405510615.73531973,0xe3724710a787c3d854bc3d23873d75eabba7b39b,,100,1325658.4429826995
2024-12-21,1750311822,405510615.73531973,0xe3724710a787c3d854bc3d23873d75eabba7b39b,,100,1360535.6080799992
2025-06-03,1750311822,405510615.73531973,0xe3724710a787c3d854bc3d23873d75eabba7b39b,,100,6118382.0904244045
2025-02-11,1750311822,405510615.73531973,0xe3724710a787c3d854bc3d23873d75eabba7b39b,,100,1884589.8015812992
2024-12-28,1750311822,405510615.73531973,0xe3724710a787c3d854bc3d23873d75eabba7b39b,,100,2086008.5442433988
2024-12-17,1750311822,405510615.73531973,0xe3724710a787c3d854bc3d23873d75eabba7b39b,,100,2015312.5220058998
2025-02-22,1750311822,405510615.73531973,0xe3724710a787c3d854bc3d23873d75eabba7b39b,,100,1297254.5320835991
